user_id;book_id;rating
4672eb229c808b792b8ea95f01f19784;1420;1
4672eb229c808b792b8ea95f01f19784;1381;3
f88032f4ad97b46654fe59ce3387cf5d;3049;2
cd6522e9018f2f77332ec74f928f8c45;1519;4
c8bf6c854005db63d0b29f218dfed131;2547;4
ec834a076f8236b855e273cfd8ba21e7;1715;5
db5bc9792b1f5b25e8d9d4799e215446;1420;5
0aa3757d0211254712a16bd8289b461d;2547;5
bb1d3f753d7409a421dc6629eded2d8c;1382;5
bb1d3f753d7409a421dc6629eded2d8c;676;2
a2643d991f999dfb99752b56d2f45d53;291;4
bcd5e6b01265c7fd51e607f5586b1705;1432;3
158feec3653e979acd18c0c427027dda;6328;4
246eac0ca4d02e73d8768a5acb9b89d7;1420;4
30a338533ba0445b58852b5dacc8836e;5932;4
567f791150ff124bf748b66787ce672d;1371;5
f9d166ab9038f2ea54dff7c639cc7cd2;1420;3
b5f937e40b9cb0e2eecb4ba2365e2019;2547;5
7882af1eb95acebce28113dbeafb63d1;3049;3
c001efe2d798df0bbac0ba51dbed1f9b;1420;5
c84807d576e92c3746180ec064fbd440;2696;5
a924627f4d6fadb9456bef2d79fc968c;2547;5
a924627f4d6fadb9456bef2d79fc968c;1371;5
a924627f4d6fadb9456bef2d79fc968c;1420;5
9d7b5eefa1170767c990b472b8c39160;6656;4
73e49b6dca8f0a791a4070437915f121;1420;5
c4f655f2ed79599a9259d7762313f3f3;1381;4
a6ec1be0fbc879a15c6c017e1734e5ea;2544;4
9fb72b46fb5e148a8a085b359f83420c;289;5
0fa371b03af3d048b9d4bda1976d4434;6549;4
51b88f9b6412a188a73f5385a7db60fd;2696;5
3b27bc635cc3bfc7672147429859ef22;676;3
31bd0948b5d3893f1ad4c4b045c114ad;1384;5
cf0cf53bf064d0255ed146663fb181f4;6273;5
d76bb2c5bcebe4bedc35d3597f54ed99;1420;4
a60ab38606164613f8297c27b0642dd4;2547;5
a60ab38606164613f8297c27b0642dd4;6549;5
757a5ba5ef52414aeb583c16ead6eca8;1381;4
0df0ddb8429d79c6089c1ec2ec69e8e0;2547;5
c5feeba5b088cbc6a25b1a51c3cc68a1;1383;5
92fa52cc1aa924948fa12f445334be68;2547;5
25eb3f30dc7b362fa601a1a58794a611;1420;4
6ea33bfa132eb95e12c0221044388e5b;1371;4
ddf620ac02710e01d3bfc109798f40cd;1420;5
